Name,State
SRI LAKSHMI VENKATESWARA DEGREE COLLEGE GURRAMKONDA,Andhra Pradesh
SRI SAI MAHITHA DEGREE COLLEGE,Andhra Pradesh
"Govt Degree College, Marripalem, Koyyur Mandal",Andhra Pradesh
"Govt.Degree College, Chintapalli",Andhra Pradesh
"SRI GOWTHAMI DEGREE COLELGE, NARSAPUR, W.G.DIST",Andhra Pradesh
"Sri Gowthami Degree College, Jinnuru(V)",Andhra Pradesh
S.V.S.S. ARTS & SCIENCE COLLEGE,Andhra Pradesh
"Government Degree College, Chodavaram",Andhra Pradesh
"S.G.A. Government Degree College, Yelamanchili",Andhra Pradesh
S.V.V.S.S.Devasthanam Degree College,Andhra Pradesh
SRI VENKATESWARA DEGREE COLLEGE,Andhra Pradesh
The Amalapuram Degree College,Andhra Pradesh
M.V.R. DEGREE COLLEGE,Andhra Pradesh
TRIVENI DEGREE COLLEGE,Andhra Pradesh
"The Lakshmi Venkatesh T.G Physiotheraphy College, Kurnool",Andhra Pradesh
"VAMSADHARA DEGREE COLLEGE, KOTABOMMALI",Andhra Pradesh
"Bollineni College of Nursing, Nellore",Andhra Pradesh
"Metas Advintest College of Nursing, Nuzividu",Andhra Pradesh
"SRI PADMAVATHI COLLEGE OF NURSING, ANANTAPUR",Andhra Pradesh
R R COLLEGE OF BSC MLT ANANTHAPURAM,Andhra Pradesh
"R R COLLEGE OF PHYSIOTHERAPY BPT, BALLARY BYPASS ROAD, ANANTHAPURAM",Andhra Pradesh
"Sri Krishna Chaitanya College of Nursing, Madanapalle",Andhra Pradesh
"MAM POLYTECHNIC OF AGRICULTURE, KESALUPALLI, NARASARAOPETA",Andhra Pradesh
"NRI College of Nursing, Chinakakani",Andhra Pradesh
"Govt. Dental College, Vijayawada",Andhra Pradesh
VISHWA HITHA DEGREE COLLEGE MADANAPALLE,Andhra Pradesh
VIKAS DEGREE COLLEGE FOR WOMEN,Andhra Pradesh
SRI. GCSR. DEGREE COLLEGE,Andhra Pradesh
"ASRAM College of Medical Lab Technology, Malkapuram",Andhra Pradesh
"Fathima Institute of Medical Scineces, Pulivendula",Andhra Pradesh
Vignan Institute of Science & Arts,Andhra Pradesh
VIJNANA NILAYAM DEGREE COLLEGE,Andhra Pradesh
VIGNAN DEGREE COLLEGE,Andhra Pradesh
CHAITANYA DEGREE & PG COLLEGE,Andhra Pradesh
D.A.R. COLLEGE,Andhra Pradesh
TARAKARAM BED COLLEGE,Andhra Pradesh
VIKAS DEGREE COLLEGE,Andhra Pradesh
MINAKSHI COLLEGE OF EDUCATION,Andhra Pradesh
Nalanda Degree College,Andhra Pradesh
PRABHAS COLLEGE OF EDUATION,Andhra Pradesh
SRIVYSHNAVI DEGREE COLLEGE PATTIKONDA,Andhra Pradesh
LENORA COLLEGE OF EDUCATION,Andhra Pradesh
MOTHER COLLEGE OF EDUCATION,Andhra Pradesh
HARAGOPAL COLLEGE OF EDUCATION,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, PANYAM",Andhra Pradesh
ANDHRA LOYOLA COLLEGE,Andhra Pradesh
SREE VENKATESWARA COLLEGE OF PHARMACY,Andhra Pradesh
NARAYANA MEMORIAL DEGREE COLLEGE,Andhra Pradesh
YSR VIVEKANANDA GOVERNMENT DEGREE COLLEGE,Andhra Pradesh
SRI SAI CHARVITH DEGREE COLLEGE,Andhra Pradesh
SREE VYSHNAVI MBA COLLEGE GOOTY,Andhra Pradesh
RAGHAVA COLLEGE OF NURSING,Andhra Pradesh
"SRI SATYA SAI DEGREE COLLEGE, Palakonda",Andhra Pradesh
DR SAMUEL GEORGE INSTITUTE OF PHYSICAL EDUCATION,Andhra Pradesh
"KSK COLLEGE OF EDUCATION, Bhattiprolu",Andhra Pradesh
S.G.L. (SARDAR GOWTHU LATCHANNA) DEGREE,Andhra Pradesh
SANGAM REDDY PAIDAPU NAIDU COLLEGE OF EDUCATION,Andhra Pradesh
"Akshara Degree College, Pamuru",Andhra Pradesh
RAJIV GANDHI INSTITUTE OF LAW,Andhra Pradesh
"BRUNDAVAN B.ED. COLLEGE, ALLAGADDA",Andhra Pradesh
SRI VENKATESWARA COLLEGE OF EDUCATION MUDDANUR,Andhra Pradesh
SRI SAI COLLEGE OF NURSING NARAYANAVANAM,Andhra Pradesh
Pragyna Degree college,Andhra Pradesh
Sir C.R.R. College Of Engineerng,Andhra Pradesh
"KATTUPALLI YOHAN COLLEGE OF EDUCATION, Bhattiprolu",Andhra Pradesh
SAI TIRUMALA NALABOTHU VENKATA RAO ENGINEERING COLLEGE,Andhra Pradesh
SHANKARI DEGREE COLLEGE,Andhra Pradesh
"Sri Rama Krishna Degree College, Ongole",Andhra Pradesh
"VJP and DLB DEGREE COLLEGE, Mangalagiri",Andhra Pradesh
"Geetham Degree College, Ongole",Andhra Pradesh
Raghava Degree College - Ongole,Andhra Pradesh
"C.S.R. Sarma College, Ongole",Andhra Pradesh
"GOVT. DEGREE COLLEGE,TIRUVURU",Andhra Pradesh
"Jyothisri College of Education, Kandulapuram, Cumbum",Andhra Pradesh
"Sri Venkateshwara B.Ed College, Darsi",Andhra Pradesh
ANNAPURNA MEMORIAL MODERN DEGREE COLLEGE,Andhra Pradesh
SRI SIDDHARTHA PHARMACY COLLEGE,Andhra Pradesh
"G.R.R. & T.P.R. Degree College, Kandulapuram, Cumbum",Andhra Pradesh
"Sri Kandula Obula Reddy Degree College, Bestavaripeta",Andhra Pradesh
SRI VIJAYANANDA DEGREE COLLEGE,Andhra Pradesh
"B.A & K.R College of Education, Medarametla, Ongole",Andhra Pradesh
KAKINADA SIMS COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
GSL dental college,Andhra Pradesh
PRABHAS DEGREE COLLEGE,Andhra Pradesh
"Sri Gowtham Degree College, Kandulapuram",Andhra Pradesh
SKR Government Degree College (Women),Andhra Pradesh
