Name,State
"Sri Adisiva Sadguru Alli Saheb Sivaarvyula Ayurvedic Medicakal College, Thimmapuram, Guntakal",Andhra Pradesh
"JANET DEGREE COLLEGE, KETHANKONDA, IBRAHIMPATNAM MANDAL",Andhra Pradesh
"Dr. Abdul Haq Unani College & Hospital, Kurnool",Andhra Pradesh
"Sri Sai Ram PG College, Nandikotkur",Andhra Pradesh
"S.V. Degree and PG College, Nellore",Andhra Pradesh
"SRI GOWTHAMI DEGREE COLLEGE, DONAKONDA, PRAKASAM DISTRICT",Andhra Pradesh
SITARAMA Degree college,Andhra Pradesh
KITES COLLEGE OF BSC MLT,Andhra Pradesh
"Padmavatamma College of Nursing, Tirupati",Andhra Pradesh
"JNTUA MBA, Anantapur",Andhra Pradesh
"LAKSHMI NARASIMHA B.ED COLLEGE, Darsi",Andhra Pradesh
"VIMS College of Medical Lab Technology, Vijaywada",Andhra Pradesh
"Sri Rama Educational Trust College of Physiotherapy, Vizianagaram",Andhra Pradesh
"Katuri College of Nursing, Guntur",Andhra Pradesh
"Mandyam College of Nursing, Tirupati",Andhra Pradesh
"Suma College of Nursing, Nellore",Andhra Pradesh
"KGR B.ED COLLEGE, Darsi",Andhra Pradesh
"VISAKHA ACADEMY OF PARAMEDICAL SCIENCES COLLEGE OF PHYSIOTHERAPY, VISAKHAPATNAM ",Andhra Pradesh
"K.S.R B.ED COLLEGE, CUMBUM",Andhra Pradesh
"Vijaya Krishna College of Nursing, Visakhapatnam",Andhra Pradesh
"Florence Nightingale Modern B.Sc Nursing Degree College For Women, Kadapa",Andhra Pradesh
"Sri Venkatadri College of Nursing, Kadapa",Andhra Pradesh
"Sri Venkateswara Degree College, Nakirekallu",Andhra Pradesh
"J.D. College of Nursing, Kadapa",Andhra Pradesh
"K.L.R. Degree College, Giddaluru",Andhra Pradesh
INDIRA COLLEGE OF EDUCATION,Andhra Pradesh
"Sri Sarada College of Nursing, Kadapa",Andhra Pradesh
"Sri Shiridi Sai Degree College, Vizianagaram Dist.",Andhra Pradesh
"Chegireddy Linga Reddy Instt of Management, Cumbum",Andhra Pradesh
"Chaitanya College of Education, Markapur",Andhra Pradesh
"C.L.R.Degree College, Cumbum, Prakasam District",Andhra Pradesh
"Kalyani MCA College, Eethamukkala",Andhra Pradesh
K C REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES    ,Andhra Pradesh
"Sri Sai Aditya Degree College, Ponduru",Andhra Pradesh
SREE VIDYANIKETHAN COLLEGE OF EDUCATION ,Andhra Pradesh
"SRI BALAJI MEDICAL COLLEGE, HOSPITAL AND RESEARCH INSTITUTE",Andhra Pradesh
POTTI SRIRAMULU CHALAVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,Andhra Pradesh
"Adusumilli Gopalakrishnaiah and sugarcane grower Siddhartha Degree College of Arts and Science, Vuyyuru",Andhra Pradesh
JAAMIA COLLEGE OF EDUCATION,Andhra Pradesh
JAGANS DEGREE COLLEGE MUTHUKURU,Andhra Pradesh
"Bhashyam College of Education, Guntur",Andhra Pradesh
SSS Degree College,Andhra Pradesh
"S.V.L.N.S.Government Degree College, Bheemunipatnam",Andhra Pradesh
Sri Modamamba Degree College,Andhra Pradesh
Prema College Of Education,Andhra Pradesh
"Sri Sai Degree College, Vinukonda",Andhra Pradesh
"GOVERNMENT MEDICAL COLLEGE,RAJAMAHENDRAVARAM",Andhra Pradesh
"Don Bosco P.G. College, Guntur",Andhra Pradesh
"SIMS College of Nursing, Guntur",Andhra Pradesh
Prabha Degree College,Andhra Pradesh
"Sri Sai Degree College, Lower Tank Bund Road, Near RTC Complex, Vzm",Andhra Pradesh
Dr. V.S. Krishna Government Degree College,Andhra Pradesh
Sri Murali Krishna Degree College,Andhra Pradesh
Sir C.R.Reddy. College Of Pharmaceutical Sciences,Andhra Pradesh
Chaitanya Degree & PG College for Women,Andhra Pradesh
"Govt.Degree College, V-Madugula",Andhra Pradesh
DEVI DEGREE COLLEGE FOR WOMEN VEMPALLI,Andhra Pradesh
"Aman Showkath B.Ed College, Isspalem, Narasaraopeta",Andhra Pradesh
"BVSPM Degree College, Ongole",Andhra Pradesh
AGR College of Arts and Science Degree College,Andhra Pradesh
DR ANJI REDDY COLLEGE OF PHARMCY,Andhra Pradesh
"Amrutha Degree College, Singarayakonda",Andhra Pradesh
"Indira Priyadarshini College of Nursing, Kadapa",Andhra Pradesh
KMR COLLEGE OF EDUCATION,Andhra Pradesh
SNR DEGREE COLLEGE,Andhra Pradesh
SANGHAMITRA COLLEGE OF NURSING,Andhra Pradesh
SRI LAKSHMI BPED COLLEGE,Andhra Pradesh
GAYATRI COLLEGE FOR P.G. COURSES  ,Andhra Pradesh
SRI LAKSHMI VENKATESWARA COLLEGE OF NURSING,Andhra Pradesh
"Shams-Ul-Uloom College of Education, Podili",Andhra Pradesh
"St. Joseph's College of Nursing, Guntur",Andhra Pradesh
"Dr. Gururaj Govt. Homoeo Medical College, Gudiwada",Andhra Pradesh
PRABHU COLLEGE OF NURSING,Andhra Pradesh
APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,Andhra Pradesh
KCREDDY COLLEGE OF NURSING,Andhra Pradesh
SRI GAYATRI DEGREE COLLEGE DWARAPUDI VIZIANAGARAM,Andhra Pradesh
"Mother College of Nursing, Visakhapatnam",Andhra Pradesh
APOLLO COLLEGE OF NURSING,Andhra Pradesh
"Balaji College of Nursing, Tirupati",Andhra Pradesh
Rajiv Gandhi Institute of Management & Sciences,Andhra Pradesh
"ALLURI SITARAMA RAJU ACADEMY OF MEDICAL SCIENCES, ELURU",Andhra Pradesh
"Jaya Shekara College of Nursing, Ongole",Andhra Pradesh
"Crescent College of Nursing, Kadapa",Andhra Pradesh
"R.R. Christian College of Nursing, Kurnool",Andhra Pradesh
"GSL College of Nursing, Rajahmundry",Andhra Pradesh
"Wellfare Institute of Science, Technology and Management",Andhra Pradesh
"Sir C.R.R College of Education, Eluru",Andhra Pradesh
GEMS COLLEGE OF NURSING,Andhra Pradesh
"SAVE College of Nursing, Tirupati",Andhra Pradesh
JOY KARTHIK DEGREE COLLEGE,Andhra Pradesh
"Vishnu Dental College, Bheemavaram",Andhra Pradesh
"Kugler Memorial Physiotherapy Degree College, Guntur",Andhra Pradesh
SRI KRISHNAVENI DEGREE COLLEGE,Andhra Pradesh
"VIKAS DEGREE COLLEGE, VISSANNAPETA",Andhra Pradesh
SRI KRIHNAVENI DEGREE COLLEGE OF ARTS & SCIENCE,Andhra Pradesh
"VIKAS DEGREE COLLEGE,KHAMBAMPADU",Andhra Pradesh
"VIKAS DEGREE COLLEGE, REDDYGUDEM",Andhra Pradesh
"Akshara College of Education, Pamur, Prakasam District",Andhra Pradesh
"AKNU Campus, T.P.Gudem",Andhra Pradesh
St. Thomas College of Education,Andhra Pradesh
"Sister Care College of Nursing, Guntur",Andhra Pradesh
N S COLLEGE OF HORTICULTURE SCIENCE,Andhra Pradesh
SRINIVASA INSTITUTE OF MANAGEMENT,Andhra Pradesh
SRI PRAGNA DEGREE COLLEGE,Andhra Pradesh
"Swatantra Inst. of Physiotherapy & Rehabilitation, Rajahmundry",Andhra Pradesh
Sri Vikas Degree College,Andhra Pradesh
"POLYTECHNIC OF ORGANIC FARMING, CHINTAPALLE",Andhra Pradesh
SAASTRA COLLEGE OF PHARMACY AND RESEARCH CENTRE,Andhra Pradesh
"POLYTECHNIC OF AGRICULTURE, REDDIPALLI, ANANTAPURAM",Andhra Pradesh
"Sri Venkateswara College of Nursing, Tirupati Road",Andhra Pradesh
"Santhiram Medical College, Nandyal",Andhra Pradesh
"Sree Rayalaseema Christian College of Education, Kurnool",Andhra Pradesh
"Sai College of Nursing, Rajahmundry",Andhra Pradesh
"Dr. C. Sobhanadri Siddhartha College of Nursing, Gannavaram",Andhra Pradesh
"MIMS College of Nursing, Nellimarla",Andhra Pradesh
"Aswini College of Nursing, Guntur",Andhra Pradesh
SARASWATHI DEGREE COLLEGE GIDDALUR,Andhra Pradesh
"Sri Sadguru Alli Sabeh Swamy College of B.Sc. MLT, Guntakal",Andhra Pradesh
"Siddhartha Medical College, Vijayawada",Andhra Pradesh
CHIRALA COLLEGE OF NURSING,Andhra Pradesh
CARE YOGA NATUROPATHY MEDICAL COLLEGE,Andhra Pradesh
VIKAS POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
VIKAS POLYTECHNIC OF AGRICULTURAL ENGINEERING,Andhra Pradesh
SARADA POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
VINAYAKA POLYTECHNIC OF AGRICULTURAL ENGINEERING,Andhra Pradesh
VINAYAKA POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
SARADA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
SADINENI CHOWDARAIAH POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
"Sri Venkata Padmavathi College of Nursing, Guntakal",Andhra Pradesh
"Narayana College of Nursing, Nellore",Andhra Pradesh
ADITYA DEGREE COLLEGE BVM,Andhra Pradesh
BR AND DHANALAKSHMI POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,Andhra Pradesh
"Bheema Institute of Technology & Sciences, Adoni",Andhra Pradesh
"Sri Venkateswara College of Pharmacy, Chittoor",Andhra Pradesh
Swathi College of Pharmacy,Andhra Pradesh
"Raghavendra Institute of Pharmaceutical Education & Research, Anantapur",Andhra Pradesh
"Chiranjeevi Reddy Institute of Engineering and Technology, Anantapur",Andhra Pradesh
Sai Rajeswari Institute of Technology,Andhra Pradesh
Vasavi Institute of Management & Computer Sciences,Andhra Pradesh
"Seshachala College of Pharmacy,Tirupati Puttur",Andhra Pradesh
"SRI VENKATESWARA COLLEGE OF NURSING, KOLLIPARA, GUNTUR DISTRICT",Andhra Pradesh
RGUKT- ONGOLE,Andhra Pradesh
POLYTECHNIC OF AGRICULTURE MADAKASIRA,Andhra Pradesh
"FRIENDS COLLEGE OF EDUCATION, CHAPADU",Andhra Pradesh
SCHOOL OF PLANNING AND ARCHITECTURE,Andhra Pradesh
"SRI VENKATESWARA COLLEGE OF NURSING, BRODIPET, GUNTUR",Andhra Pradesh
"SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY, BRODIPET, GUNTUR",Andhra Pradesh
Sri Krishnadevaraya College of Horticultural Sciences,Andhra Pradesh
REGIONAL INSTITUTE OF EDUCATION NCERT NELLORE,Andhra Pradesh
"Sri Sai Prasanthi Degree College, Kunavaram, Khammam",Andhra Pradesh
B.V.K.Degree College,Andhra Pradesh
PRISM Degree College,Andhra Pradesh
"POLYTECHNIC OF AGRICULTURE, KALIKIRI",Andhra Pradesh
"POLYTECHNIC OF AGRICULTURAL ENGINEERING, KALIKIRI",Andhra Pradesh
SRI VENKATESWARA COLLEGE OF EDUCATION,Andhra Pradesh
RAMLEELA DEGREE COLLEGE,Andhra Pradesh
S.S.R.  DEGREE COLLEGE,Andhra Pradesh
S.L.T.N DEGREE COLLEGE,Andhra Pradesh
"Ushodaya Degree College, Bangarupalem",Andhra Pradesh
Govt. Degree College Sathyavedu  Rural            Co-Ed.,Andhra Pradesh
"Sri Venkateswara College of Education, Bangarupalem",Andhra Pradesh
"Vidyalaya College of Education, Tirupati",Andhra Pradesh
Y.V. RAO SIDDHARTHA COLLEGE OF EDUCATION,Andhra Pradesh
"S.V.Arts &  Science  College,    Kongareddipalli Urban",Andhra Pradesh
GIET DEGREE COLLEGE,Andhra Pradesh
AIM BED COLLEGE,Andhra Pradesh
Bellamkonda Horticultural Polytechnic,Andhra Pradesh
S S AND N AH POLYTECHNIC COLLEGE,Andhra Pradesh
"Silver Jubilee College (PG), Kurnool",Andhra Pradesh
GM POLYTECHNIC OF AGRICULTURE,Andhra Pradesh
SVR COLLEGE OF NURSING,Andhra Pradesh
RGUKT- NUZVID,Andhra Pradesh
SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"Sri Jeevana Jyothi Degree College, Giddalur",Andhra Pradesh
SRI VENKATESWARA INSTITUTE OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh
SRI SAI VYSHNAVI DEGREE COLLEGE,Andhra Pradesh
AKSHARA DEGREE COLLEGE,Andhra Pradesh
Sir C.V.RAMAN INSTITUTE OF MANAGEMENT STUDIES,Andhra Pradesh
"AMARAVATHI BSC COLLEGE OF NURSING, ANANTHARAJUPET",Andhra Pradesh
KALANJALI INSTITUTE OF MEDICAL SCIENCES NURSING COLLEGE ,Andhra Pradesh
"AKSHAY COLLEGE OF NURSING, KADAPA",Andhra Pradesh
"Nagarjuna College of Nursing, Kanuru",Andhra Pradesh
SUMOURYA DEGREE COLLEGE,Andhra Pradesh
Ramachandra College of Engineering,Andhra Pradesh
"Nirmala College of Pharmacy, Mangalagiri",Andhra Pradesh
"Chalapathi Institute of Pharmaceutical Sciences, Lam",Andhra Pradesh
"Hindu College of Management, Guntur",Andhra Pradesh
"Victoria College of Pharmacy, Nallapadu",Andhra Pradesh
"Haritha Paramedical College (B.Sc MLT), Kakinada",Andhra Pradesh
"S V R DEGREE COLLGE , SATTENAPALLI",Andhra Pradesh
"SRI VENKATESWARA HOTEL MANAGEMENT COLLEGE , PONNUR",Andhra Pradesh
"WISDOM DEGREE COLLEGE , RENTACHINTALA",Andhra Pradesh
VISWABHARATHI COLLEGE OF ALLIED AND HEALTHCARE PROFESSIONS,Andhra Pradesh
"S.I.M.S College of Medical Lab Technology, Guntur",Andhra Pradesh
BELLAMKONDA AGRICULTURAL POLYTECHNIC,Andhra Pradesh
"College of Life Sciences, Visakhapatnam",Andhra Pradesh
"Academy of Life Sciences (Nursing), Visakhapatnam",Andhra Pradesh
Govt Degree College For Women Arakuvalley,Andhra Pradesh
AJK POLYTECHNIC OF SEED TECHNOLOGY,Andhra Pradesh
SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"Venkata Padmavthi College of Medical Lab Technology, Tirupati",Andhra Pradesh
"POLYTECHNIC OF AGRICULTURE, GARIKAPADU",Andhra Pradesh
"POLYTECHNIC OF AGRICULTURAL ENGINEERING, RARS, ANAKAPALLE",Andhra Pradesh
SRIKARA COLLEGE OF NURSING,Andhra Pradesh
"SRI VENKATESWARA COLLEGE OF PHYSIOTHERAPY, ANANTAPURAMU",Andhra Pradesh
VAMSADHARA BACHELOR OF PHYSICAL EDUCATION,Andhra Pradesh
"POLYTECHNIC OF AGRICULTURE, MARUTERU",Andhra Pradesh
BHASKAR INSTITUTE OF TECHNOLOGY AND SCIENCE,Andhra Pradesh
HARIKA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
"Government College for Women Autonomous, Guntur",Andhra Pradesh
R.V.R. & J.C. College of Engineering,Andhra Pradesh
"Hindu College, Guntur",Andhra Pradesh
"KBR COLLEGE OF NURSING, VISHAKHAPATNAM",Andhra Pradesh
"SRI CHAITANYA COLLEGE OF NURSING, VIZIANAGARAM",Andhra Pradesh
University College of Engineering & Technology,Andhra Pradesh
T.J.P.S. College,Andhra Pradesh
SIR C.R. REDDY COLLEGE,Andhra Pradesh
Janahitha Degree College,Andhra Pradesh
"SVR DEGREE COLLEGE, PALAKONDA",Andhra Pradesh
SRI RAVI TEJA DEGREE COLLEGE,Andhra Pradesh
Sir CR Reddy College PG Management Studies,Andhra Pradesh
Sir CRR College (PG Courses),Andhra Pradesh
"V.S.R. & N.V.R. College, Tenali",Andhra Pradesh
"G.C & Y P N Degree College, Kanigiri",Andhra Pradesh
"Govt.Degree College, Salur",Andhra Pradesh
CH. S.D. ST. THERESA'S COLLEGE FOR WOMEN (A),Andhra Pradesh
"Tarlapadu College of Education, Tarlapadu",Andhra Pradesh
"Asha College of Education, Markapur",Andhra Pradesh
"Kamala College of Education, Markapur",Andhra Pradesh
S.L.G.Degree College,Andhra Pradesh
"Sri Venkateswara Degree College, Kollipara",Andhra Pradesh
"G V R & S Degree College for Women, Guntur",Andhra Pradesh
AYYANNA DEGREE COLLEGE,Andhra Pradesh
"DRW College, Gudur",Andhra Pradesh
BHEEMESWAR DEGREE COLLEGE PUTHALAPATTU,Andhra Pradesh
"Dr. C.V Ramana Degree College, Naidupeta",Andhra Pradesh
"NTR Govt.     Degree College,     Valmikipuram   Rural",Andhra Pradesh
"VEDAVYASA DEGREE COLLEGE, KALYANAPURAM",Andhra Pradesh
"Dhanalakshmi College of Physical Education Muppalla, Guntur District",Andhra Pradesh
SUN SENORA BEACH CAMPUS,Andhra Pradesh
Sri Gowthami Degree College Yerragondapalem,Andhra Pradesh
"Sri Gowthami Degree College, Darsi",Andhra Pradesh
SLS Degree College,Andhra Pradesh
GMR BED COLLEGE  YEMMIGANUR,Andhra Pradesh
CHANAKYA COLLEGE OF EDUCATION,Andhra Pradesh
"PNCA B.Ed College, Singarayakonda, Prakasam District.",Andhra Pradesh
"Sri Akshara Degree College, Gate Venture, Ponnavaram, Verullapadu,Krishna District.",Andhra Pradesh
"V.R. Institute of PG Studies, Nellore",Andhra Pradesh
Dr CSN INSTITUTE OF PHARMACY,Andhra Pradesh
ADITHE SATYANARAYANA PG COLLEGE(MBA),Andhra Pradesh
VIDHYARDHI DEGREE COLLEGE CHODAVARAM,Andhra Pradesh
Indira Gandhi Degree College,Andhra Pradesh
Sri Vivekananda Degree College,Andhra Pradesh
"Lendy Degree College, Nellore",Andhra Pradesh
S.V. Degree College,Andhra Pradesh
"St. Marys Degree College, Bucchireddypalem",Andhra Pradesh
"Alexa College of Education,Venkatachalam",Andhra Pradesh
SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,Andhra Pradesh
"Dr. SRJ Degree College, Atmakur",Andhra Pradesh
"Gate Degree  College, Tirupati  Urban",Andhra Pradesh
"Sri Surya  Degree  College,      NAGARI Rural",Andhra Pradesh
Sri Vedavyasa Degree college,Andhra Pradesh
Shirdi Women's Degree College,Andhra Pradesh
Smt.Basava Rama Tarakam Memorial Law College,Andhra Pradesh
GOVERNMENT DEGREE COLLEGE Tekkali,Andhra Pradesh
"Government Degree College, Jammalamadugu",Andhra Pradesh
BS & JR COLLEGE OF EDUCATION,Andhra Pradesh
D.R.N. DEGREE COLLEGE,Andhra Pradesh
SRI VISWAJYOTHI DEGREE COLLEGE,Andhra Pradesh
"SRI RAMA DEGREE COLLEGE,VANDRANGI",Andhra Pradesh
KRISHNA SAI DEGREE COLLEGE,Andhra Pradesh
SPIRITS Degree College,Andhra Pradesh
GNANAJYOTHI DEGREE COLLEGE,Andhra Pradesh
Pydah College of Education,Andhra Pradesh
"Sri Harsha's Womens Degree College, Cumbum",Andhra Pradesh
SUN DEGREE COLLEGE,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, ICHAPURAM",Andhra Pradesh
M.L.R. NAIDU DEGREE COLLEGE,Andhra Pradesh
"Sri Viswabharathi College of Education, Giddalur, Prakasam District",Andhra Pradesh
"UNIVERSAL DEGREE COLLEGE, YERRAGONDLAPALEM",Andhra Pradesh
"V.V. & M. College, Ongole",Andhra Pradesh
SAI VINEETH DEGREE COLLEGE,Andhra Pradesh
SRI SAKETI SATYANARAYANA DEGREE COLLEGE,Andhra Pradesh
SHIRIDI SAI DEGREE COLLEGE,Andhra Pradesh
PADMAVATHI DEGREE COLLEGE,Andhra Pradesh
RISHI POLYTECHNIC OF AGRICULTURE ,Andhra Pradesh
BOGGAVARAPU GURAVAIAH COLLEGE OF PHYSICAL EDUCATION VELPUR ATCHAMPET PALNADU DISTRICT,Andhra Pradesh
THAMMI NAIDU VIDYA DEGREE COLLEGE,Andhra Pradesh
S.V.J.  DEGREE COLLEGE,Andhra Pradesh
SSR COLLAGE OF EDUCATTION,Andhra Pradesh
SANTHINIKETAN DEGREE COLLEGE,Andhra Pradesh
SAMASKARA BHARATHI DEGREE COLLEGE,Andhra Pradesh
SRI PRATIBA DEGREE COLLEGE,Andhra Pradesh
Dr.  C.L. NAIDU DEGREE COLLEGE,Andhra Pradesh
SARADA DEGREE COLLEGE,Andhra Pradesh
"Krishna Chaitanya Degree College, Nellore",Andhra Pradesh
GOVERNMENT DEGREE COLLEGE Narasanna Peta,Andhra Pradesh
SRI SIVANI DEGREE COLLEGE,Andhra Pradesh
GHANTA NARAYANA RAO PRIVATE UN  AIDED DEGREE COLLEGE,Andhra Pradesh
GOVERNMENT COLLEGE FOR WOMEN,Andhra Pradesh
GEETAM DEGREE COLLEGE,Andhra Pradesh
PRAGNA DEGREE COLLEGE-093,Andhra Pradesh
"Guthikonda Sreeramulu College of Education, Buchireddypalem",Andhra Pradesh
"Allagadda Inst. Of Management & Science (PG), Allagadda",Andhra Pradesh
"Omega College of Education, Pamuru",Andhra Pradesh
"SRI NALANDA COLLEGE OF EDUCATION, MARTUR, BAPATLA DISTRICT",Andhra Pradesh
SRI SAI VENKATESWARA DEGREE COLLEGE(094)GUDUR,Andhra Pradesh
Sri Gayatri Degree College,Andhra Pradesh
SRI SAMHITHA DEGREE COLLEGE,Andhra Pradesh
"Sri Sadhana B.Ed College, Markapur",Andhra Pradesh
NEW MODERN DEGREE COLLEGE,Andhra Pradesh
"Master Degree College, Kurnool",Andhra Pradesh
"Jenila Varshini College of Education, Itha Nagar, Tenali, Guntur District",Andhra Pradesh
 PRAGATHI COLLEGE OF PHYSICAL EDUCATION,Andhra Pradesh
"BRUNDAVAN DEGREE COLLEGE, DORNIPADU",Andhra Pradesh
Dr.VARALAKSHMI B P Ed COLLEGE,Andhra Pradesh
SRINIVASA COLLEGE OF EDUCATION,Andhra Pradesh
Vikas Degree College,Andhra Pradesh
S.L.N. Degree College,Andhra Pradesh
"Sashikanthreddy College of Pharmacy, Nellore.",Andhra Pradesh
"Sai Deepthi College of Physical Education, Edulapalem Village, Pathipadu, Guntur District",Andhra Pradesh
SRI VIGNANA BHARATHI DEGREE COLLEGE,Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, ALAMURU",Andhra Pradesh
"Pujitha College of Education, Ravipadu, Narsaraopeta, Guntur District 522603",Andhra Pradesh
SRI RAGHAVENDRA DEGREE COLLEGE MANTRALAYAM,Andhra Pradesh
VEDA COLLEGE OF PHARMACY,Andhra Pradesh
ANIL NEERUKONDA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
VARAPRASAD RAO BED COLLEGE,Andhra Pradesh
NALANDA DEGREE COLLEGE AND PG CENTRE,Andhra Pradesh
SRI BHARGAVI COLLEGE OF NURSING,Andhra Pradesh
SRI PADMAVATHI COLLEGE OF NURSING,Andhra Pradesh
AKSHY COLLEGE OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh
"Gowthamabudda College of Education,Karedu Village,Vulapadu",Andhra Pradesh
NARAYANA DEGREE COLLEGE,Andhra Pradesh
"College of Agricultural Engineering, Bapatla",Andhra Pradesh
"S.V. Agricultural College, Tirupathi",Andhra Pradesh
"Agricultural College, Naira",Andhra Pradesh
"Agricultural College, Mahanandi",Andhra Pradesh
"Agricultural College, Bapatla",Andhra Pradesh
"College of Agricultural Engineering, Madakasira",Andhra Pradesh
S S AND N COLLEGE OF NURSING,Andhra Pradesh
SESHACHALA VENKATASUBBIAH DEGREE COLLEGE,Andhra Pradesh
VIJAYA BEHARA COLLEGE OF EDUCATION ,Andhra Pradesh
KARTHIKEYA DEGREE COLLEGE KOWTHALAM,Andhra Pradesh
Dr K V SUBBA REDDY BEd COLLEGE,Andhra Pradesh
SRI HARA DEGREE COLLEGE,Andhra Pradesh
"SRI RACHAPUDY NAGABHUSHANAM DEGREE & PG COLLEGE, BADVEL",Andhra Pradesh
"GOVERNMENT COLLEGE OF NURSING, MACHILIPATNAM",Andhra Pradesh
"Pratap College of Education, Chirala",Andhra Pradesh
"Vasavi Mahila Kalasala,",Andhra Pradesh
SBVR Agriculture College,Andhra Pradesh
SRI SAI WOMENS DEGREE COLLEGE GUNTAKAL,Andhra Pradesh
ANIL NEERUKONDA COLLEGE OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh
"Gnana Saraswathi Degree College,Bethamcherla - 518599",Andhra Pradesh
"SRI LAKSHMI VENKATESWARA DEGREE COLLEGE, DHONE",Andhra Pradesh
A G L Degree College S KOTA,Andhra Pradesh
"SRI SAI RAJESWARI B.Ed COLLEGE, LINGAPURAM, PRODDATUR,",Andhra Pradesh
Bhavani College Of Education,Andhra Pradesh
SUJATHA COLLEGE OF NURSING,Andhra Pradesh
SCHOOL OF MANAGEMENT STUDIES,Andhra Pradesh
"Gayatri Degree College, Puritipenta(V), Vzm",Andhra Pradesh
Presidency Degree College,Andhra Pradesh
Chandra Kala Devi Sarda Degree College,Andhra Pradesh
"A.G.K.M.College, Sattenapalli",Andhra Pradesh
"Acharya N.G.Ranga College of Education, Chilumuru",Andhra Pradesh
S V College of Special Education Kothuru Vijayawada,Andhra Pradesh
SRI MALLIKARJUNA BED COLLEGE DHAVEJIGUDEM GANNAVARM MANDAL,Andhra Pradesh
"Sri Venkateswara Degree College, Madakasira",Andhra Pradesh
ONGOLE COLLEGE OF NURSING,Andhra Pradesh
"SRI LAKSHMI VENKATESWARA M.Ed COLLEGE,KURNOOL",Andhra Pradesh
ANILNEERUKONDA INSTITUTE OF DENTAL SCIENCES,Andhra Pradesh
"B.R.College of Education, Narsipatnam, Visakhapatnam",Andhra Pradesh
"GITAMS Degree College, Kadapa",Andhra Pradesh
"R.V.V.N. College, Dharanikota, Amaravathi",Andhra Pradesh
"DLR College PG Courses, G.Mamidada",Andhra Pradesh
SIDDHARTHA DEGREE COLLEGE VELAIRPAD,Andhra Pradesh
"Sri Shiridi Sai Srinivasa Degree College, Chodavaram, Visakhapatnam",Andhra Pradesh
"Govt. Degree College, Chebrolu",Andhra Pradesh
"Government Degree College, Yerragondapalem",Andhra Pradesh
"GOVERNMENT DEGREE COLLEGE, VEERAGHATTAM",Andhra Pradesh
"AGRICULTURAL COLLEGE, PULIVENDULA",Andhra Pradesh
JAGRUTHI COLLEGE OF NURSING,Andhra Pradesh
SATYAM COLLEGE OF NURSING,Andhra Pradesh
"AKNU M.S.N. CAMPUS, KKD",Andhra Pradesh
"Master Minds Degree College, Guntur",Andhra Pradesh
AKULA SREE RAMULU COLLEGE of EDUCATION Kovvur,Andhra Pradesh
"INDIAN MARITIME UNIVERSITY, VISAKHAPATNAM",Andhra Pradesh
B R FISHERY POLYTECHNIC,Andhra Pradesh
"SRI VENKATESWARA FISHERIES POLYTECHNIC, TAKKOLU",Andhra Pradesh
"SVR Degree College, MGM Complex, Macherla, Guntur District",Andhra Pradesh
"Sree Vignan Degree College, Amadaguru",Andhra Pradesh
"SWAMY VIVEKANANDA DEGREE COLLEGE, AKUTHOTAPALLI, ANANTAPURAMU",Andhra Pradesh
JESUS DOGGA COLLEGE OF EDUCATION,Andhra Pradesh
JESUS THE SAVIOUR OF NATIONS COLLEGE OF EDUCATION,Andhra Pradesh
PADMAVATHI COLLEGE OF TEACHER EDUCATION,Andhra Pradesh
SRI GURUDATTA DEGREE COLLEGE,Andhra Pradesh
NALANDA DEGREE COLLEGE,Andhra Pradesh
KAKINADA ADITYA DEGREE COLLEGE,Andhra Pradesh
GOVERNMENT MEDICAL COLLEGE ELURU,Andhra Pradesh
CHANDRA COLLEGE OF NURSING,Andhra Pradesh
SRI PONNAVOLU GOPIREDDY B.ED COLLEGE,Andhra Pradesh
AMARA COLLEGE OF NURSING,Andhra Pradesh
MEDARAMETLA ANJAMMA MASTAN RAO LAW COLLEGE,Andhra Pradesh
MSRR COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh
SreeRama Institute of Management,Andhra Pradesh
Hannamma Christial College of Education,Andhra Pradesh
ENLIGHT COLLEGE OF SCIENCE AND COMMERCE,Andhra Pradesh
"Sree Narayana Nursing College, Nellore",Andhra Pradesh
